City,Country,Latitude,Longitude
Luxembourg,Luxembourg,49.815273,6.129583
Lyon,France,45.764043,4.835659
Madrid,Spain,40.4167279,-3.7032905
Mainz,Germany,49.9928617,8.2472526
Manchester,United Kingdom,53.4807593,-2.2426305
Mannheim,Germany,49.4873329,8.4646441
Marseille,France,43.3025742,5.3690743
Maynooth,Ireland,53.3815491,-6.5910382
Milan,Italy,45.468503,9.1824027
Milano-Bicocca,Italy,45.51851,9.2075123
Munich,Germany,48.1351253,11.5819806
Münster,Germany,51.9606649,7.6261347
Naples,Italy,40.8517983,14.26812
Navarra,Spain,42.6953909,-1.6760691
Newcastle,United Kingdom,54.978252,-1.61778
Nice,France,43.7101728,7.2619532
Nijmegen,Netherlands,51.8448837,5.8428281
Norwich,United Kingdom,52.6292567,1.2978802
Nottingham,United Kingdom,52.9540223,-1.1549892
Nürnberg,Germany,49.4542881,11.0745641
Odense,Denmark,55.403756,10.40237
Olomouc,Czech Republic,49.593778,17.2508787
Oslo,Norway,59.9121746,10.7312704
Oulu,Finland,65.0120888,25.4650773
Oxford,United Kingdom,51.7520209,-1.2577263
Padova,Italy,45.4105029,11.8782071
Palermo,Italy,38.1156864,13.3614635
Pamplona,Spain,42.812526,-1.6457745
Paris,France,48.8575475,2.3513765
Parma,Italy,44.8014788,10.3279911
Pavia,Italy,45.1896589,9.1562563
Pisa,Italy,43.7228385,10.4017581
Plymouth,United Kingdom,50.3754565,-4.1426565
Podgorica,Montenegro,42.4304196,19.2593642
Porto,Portugal,41.1579438,-8.6291053
Portsmouth,United Kingdom,50.8197675,-1.0879769
Poznan,Poland,52.4056786,16.9312766
Prague,Czech Republic,50.0755381,14.4378005
Reading,United Kingdom,51.4551201,-0.9787475
Regensburg,Germany,49.0134297,12.1016236
Rennes,France,48.117266,-1.6777926
Reykjavik,Iceland,64.1469868,-21.9407552
Riga,Latvia,56.9676941,24.1056221
Rome,Italy,41.8967068,12.4822025
Rotterdam,Netherlands,51.9244201,4.4777325
Saarlandes,Germany,49.3964234,7.0229607
Saint Andrews,United Kingdom,56.3397753,-2.7967214
Salamanca,Spain,40.9701039,-5.6635397
Salzburg,Austria,47.8014154,13.0448441
Santiago de Compostela,Spain,42.8768606,-8.5441729
Saxony,Germany,51.1045407,13.2017384
Sheffield,United Kingdom,53.381129,-1.470085
Siena,Italy,43.3184741,11.3305812
Sofia,Bulgaria,42.6977082,23.3218675
Southampton,United Kingdom,50.9105468,-1.4049018
Stockholm,Sweden,59.3327036,18.0656255
Strasbourg,France,48.5734053,7.7521113
Strathclyde,United Kingdom,55.8619473,-4.2423246
Stuttgart,Germany,48.7758459,9.1829321
Sussex,United Kingdom,50.969873,-0.4159547
Swansea,United Kingdom,51.62144,-3.943646
Szeged,Hungary,46.2530102,20.1414253
Tampere,Finland,61.4971456,23.7525985
Tarragona,Spain,41.1188827,1.2444909
Tartu,Estonia,58.377983,26.7290383
Thessaloniki,Greece,40.6400629,22.9444191
Thuringia,Germany,51.0109892,10.845346
Tilburg,Netherlands,51.5841398,5.0821467
Torino,Italy,45.0703155,7.6868552
Toulouse,France,43.6048462,1.442848
Trabzon,Turkey,41.0026969,39.7167633
Trento,Italy,46.0673856,11.1267378
Trondheim,Norway,63.4305149,10.3950528
Troyes,France,48.2975056,4.0746921
Turku,Finland,60.4517504,22.2485771
Twente,Netherlands,52.2663667,6.7875833
Umea,Sweden,63.8258471,20.2630354
Uppsala,Sweden,59.8585638,17.6389267
Utrecht,Netherlands,52.0919255,5.1229572
Vaasa,Finland,63.0950331,21.6163866
Valencia,Spain,39.4738338,-0.3756348
Valladolid,Spain,41.6543639,-4.7222733
Venice,Italy,45.440379,12.3159547
Vienna,Austria,48.2080696,16.3713095
Vilnius,Lithuania,54.6871555,25.2796514
Wagenigen,Netherlands,51.9812239,5.6584157
Warsaw,Poland,52.2296756,21.0122287
Warwick,United Kingdom,52.2822321,-1.5848342
Westfälische,Germany,51.4332367,7.6615938
Wien,Austria,48.2080696,16.3713095
Wolverhampton,United Kingdom,52.5868159,-2.1256587
Würzburg,Germany,49.7913044,9.9533548
York,United Kingdom,53.9614205,-1.0739108
Zagreb,Croatia,45.8150108,15.981919
Zaliakalnis,Lithuania,54.9087367,23.92868
Zaragoza,Spain,41.6474339,-0.8861451
Zurich,Switzerland,47.3768866,8.541694
